39313,TAZ ALOO PURI (454 gm X 20 pcs),Export
39314,TAZ MINI ALOO PURI (400gm X 20 pcs),Export
39367,TAZA JACK FRUIT SEEDS (400gm X 24 pcs),Export
39402,Taza Green Olive 300gm X 24pcs,Export
39466,Quality Bites Paratha (400gm X 24 pcs),Export
39467,Quality Bites Paratha (1600gm X 6 pcs),Export
39468,Quality Bites  Dal Puri Mini (454gm X 20 pcs),Export
39469,Quality Bites  Aloo Puri Mini (454gm X 20 pcs),Export
39470,Quality Bites Vegetable Singara (400gm X 20 pcs),Export
39471,Quality Bites Noon Gora (800gm X 20 pcs),Export
39472,Taza Frozen veg. Green Mango (400gm X 24 pcs),Export
39473,Taza Frozen veg. Lati (400gm X 24 pcs),Export
39494,Taza Frozen Kachur lati (400gm X 24 pcs),Export
39495,Taza Frozen Been seed (400gm X 24 pcs),Export
39519,PRAN SAMOSA -1000 GM (40 GM X 25 PCS /Pouch),Export
39520,PRAN SPRING ROLL -1000 GM(40 GM X 25 PCS/Pouch),Export
39553,MEXIM ROTI CHAPATI 2000GM X 6pack,Export
39554,MEXIM  VEGETABLES SPRING ROLL & SAMOSA COMBO (1500gm X 6pack),Export
39626,PRAN TAZA GREEN MANGO SLICE (300GM X 24POUCH),Export
39629,Mughal Aromatic Rice (1 KG X 10pcs),Export
39638,PRAN CHILLI PICKLE  (GLASS JAR)(370 gm X 12 pcs),Export
39673,JAN Paratha 2400gm X 6pack,Export
39674,JAN RICE ROTI 400gm X 10pack,Export
39675,JAN ROTI CHAPATI 1000gm X 10pack,Export
39676,JAN Samosa 400gm X 20pack,Export
39677,JAN Singara 400gm X 20pack,Export
39678,JAN  Spring Roll 400gm X 20pack,Export
39679,JAN Aloo Puri 454gm X 20pcs,Export
39680,JAN Dal Puri 454gm X 20pack,Export
39681,JAN Dal Puri  mini 454gm X 20pack,Export
39682,TAZA Green Chilli 1kg X 10poly,Export
39723,Taza Frozen Korolla  (400 gm x 24 Pack),Export
